Id,Title,IsUpgraded,Tier,TierSource,TrainingLabel,Axes,Tags,UpgradeCost,UpgradeDesc,Cost,Type,Rarity,Pool,Character,Score,Description,Keywords,SynergyAxesSource,Notes,TierModel,TierModelDelta,TierModelScore
CARD.AFTERIMAGE,잔상,False,S,ml-published,A,BLOCK;PLAY_TRIGGER,방어;강화 가치,,"[gold]선천성[/gold].
카드를 사용할 때마다,
[gold]방어도[/gold]를 1 얻습니다.",1,Power,Rare,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,66,"카드를 사용할 때마다,
[gold]방어도[/gold]를 1 얻습니다.",,BLOCK,,S,+1,3.77
CARD.AFTERLIFE,내세+,True,A,ml-published,A,EXHAUST_TAG,소모,,,1,Skill,Common,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,66,"[gold]소환[/gold] 9.
[gold]소멸[/gold].",Exhaust,EXHAUST,,A,0,2.77
CARD.AFTERLIFE,내세,False,A,ml-published,A,EXHAUST_TAG,소모,,"[gold]소환[/gold] 9.
[gold]소멸[/gold].",1,Skill,Common,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,63,"[gold]소환[/gold] 6.
[gold]소멸[/gold].",Exhaust,EXHAUST,,A,0,2.60
CARD.AGGRESSION,공격성+,True,B,ml-published,A,SCALING;INNATE_SELF;RANDOM,주의,,,1,Power,Rare,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,68,"[gold]선천성[/gold].
내 턴 시작 시,
[gold]버린 카드 더미[/gold]에서 무작위
공격 카드를 1장 [gold]손[/gold]으로
가져오고 [gold]강화[/gold]합니다.",Innate,SCALING,,B,-1,1.89
CARD.AGGRESSION,공격성,False,B,ml-published,A,SCALING;RANDOM,주의;강화 가치,,"[gold]선천성[/gold].
내 턴 시작 시,
[gold]버린 카드 더미[/gold]에서 무작위
공격 카드를 1장 [gold]손[/gold]으로
가져오고 [gold]강화[/gold]합니다.",1,Power,Rare,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,65,"내 턴 시작 시,
[gold]버린 카드 더미[/gold]에서 무작위
공격 카드를 1장 [gold]손[/gold]으로
가져오고 [gold]강화[/gold]합니다.",,SCALING,,B,-1,1.88
CARD.ALCHEMIZE,연금+,True,S,ml-published,A,EXHAUST_TAG;RANDOM,소모;주의,,,0,Skill,Rare,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,68,"무작위 포션을
1개 생성합니다.
[gold]소멸[/gold].",Exhaust,EXHAUST,,S,+1,3.37
CARD.ALCHEMIZE,연금,False,S,ml-published,A,EXHAUST_TAG;RANDOM,소모;주의;강화 가치++,0,,1,Skill,Rare,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,65,"무작위 포션을
1개 생성합니다.
[gold]소멸[/gold].",Exhaust,EXHAUST,,S,+1,3.19
CARD.ALIGNMENT,정렬+,True,B,ml-published,A,ENERGY,에너지,,,0,Skill,Uncommon,CARD_POOL.REGENT_CARD_POOL,CARD_POOL.REGENT_CARD_POOL,60,[img]res://images/packed/sprite_fonts/regent_energy_icon.png[/img][img]res://images/packed/sprite_fonts/regent_energy_icon.png[/img][img]res://images/packed/sprite_fonts/regent_energy_icon.png[/img]를 얻습니다.,,ENERGY,,B,-1,2.47
CARD.ALIGNMENT,정렬,False,B,ml-published,B,ENERGY,에너지,,[img]res://images/packed/sprite_fonts/regent_energy_icon.png[/img][img]res://images/packed/sprite_fonts/regent_energy_icon.png[/img][img]res://images/packed/sprite_fonts/regent_energy_icon.png[/img]를 얻습니다.,0,Skill,Uncommon,CARD_POOL.REGENT_CARD_POOL,CARD_POOL.REGENT_CARD_POOL,57,[img]res://images/packed/sprite_fonts/regent_energy_icon.png[/img][img]res://images/packed/sprite_fonts/regent_energy_icon.png[/img]를 얻습니다.,,ENERGY,,B,-1,2.23
CARD.ALL_FOR_ONE,하나를 위한 모두+,True,S,ml-published,A,ENERGY,,,,2,Attack,Rare,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,67,"피해를 14 줍니다.
[gold]버린 카드 더미[/gold]에서
모든 0[img]res://images/packed/sprite_fonts/defect_energy_icon.png[/img] 카드를
[gold]손[/gold]으로 가져옵니다.",,ENERGY,,S,+1,3.47
CARD.ALL_FOR_ONE,하나를 위한 모두,False,S,ml-published,A,ENERGY,,,"피해를 14 줍니다.
[gold]버린 카드 더미[/gold]에서
모든 0[img]res://images/packed/sprite_fonts/defect_energy_icon.png[/img] 카드를
[gold]손[/gold]으로 가져옵니다.",2,Attack,Rare,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,64,"피해를 10 줍니다.
[gold]버린 카드 더미[/gold]에서
모든 0[img]res://images/packed/sprite_fonts/defect_energy_icon.png[/img] 카드를
[gold]손[/gold]으로 가져옵니다.",,ENERGY,,S,+1,3.72
CARD.ANGER,분노+,True,B,ml-published,B,,,,,0,Attack,Common,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,51,"피해를 8 줍니다.
이 카드의 복사본을 1장
[gold]버린 카드 더미[/gold]에
추가합니다.",,,,B,0,2.12
CARD.ANGER,분노,False,B,ml-published,B,,,,"피해를 8 줍니다.
이 카드의 복사본을 1장
[gold]버린 카드 더미[/gold]에
추가합니다.",0,Attack,Common,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,48,"피해를 6 줍니다.
이 카드의 복사본을 1장
[gold]버린 카드 더미[/gold]에
추가합니다.",,,,B,0,2.16
CARD.ANOINTED,임명+,True,C,ml-published,A,EXHAUST_TAG;RETAIN_SELF,소모,,,1,Skill,Rare,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,68,"[gold]보존[/gold].
[gold]뽑을 카드 더미[/gold]에 있는
모든 [gold]희귀[/gold] 카드를
[gold]손[/gold]으로 가져옵니다.
[gold]소멸[/gold].",Exhaust|Retain,EXHAUST,,C,-2,1.28
CARD.ANOINTED,임명,False,C,ml-published,A,EXHAUST_TAG,소모;강화 가치,,"[gold]보존[/gold].
[gold]뽑을 카드 더미[/gold]에 있는
모든 [gold]희귀[/gold] 카드를
[gold]손[/gold]으로 가져옵니다.
[gold]소멸[/gold].",1,Skill,Rare,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,65,"[gold]뽑을 카드 더미[/gold]에 있는
모든 [gold]희귀[/gold] 카드를
[gold]손[/gold]으로 가져옵니다.
[gold]소멸[/gold].",Exhaust,EXHAUST,,C,-2,1.51
CARD.ANTICIPATE,예측+,True,A,ml-published,B,DURATION,,,,0,Skill,Common,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,52,"이번 턴 동안
[gold]민첩[/gold]을 3 얻습니다.",,,,A,+1,2.77
CARD.ANTICIPATE,예측,False,A,ml-published,B,DURATION,,,"이번 턴 동안
[gold]민첩[/gold]을 3 얻습니다.",0,Skill,Common,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,49,"이번 턴 동안
[gold]민첩[/gold]을 2 얻습니다.",,,,A,+1,2.86
CARD.APOTHEOSIS,신성+,True,A,ml-published,A,EXHAUST_TAG;SCALING;INNATE_SELF,소모,,,1,Skill,Ancient,CARD_POOL.EVENT_CARD_POOL,CARD_POOL.EVENT_CARD_POOL,68,"[gold]선천성[/gold].
모든 카드를 [gold]강화[/gold]합니다.
[gold]소멸[/gold].",Exhaust|Innate,EXHAUST|SCALING,,A,0,2.95
CARD.APOTHEOSIS,신성,False,A,ml-published,A,EXHAUST_TAG;SCALING;INNATE_SELF,소모;강화 가치+,1,,2,Skill,Ancient,CARD_POOL.EVENT_CARD_POOL,CARD_POOL.EVENT_CARD_POOL,62,"[gold]선천성[/gold].
모든 카드를 [gold]강화[/gold]합니다.
[gold]소멸[/gold].",Exhaust|Innate,EXHAUST|SCALING,,A,0,2.91
CARD.APPARITION,영체화+,True,A,ml-published,A,EXHAUST_TAG;ETHEREAL_SELF,소모,,,1,Skill,Ancient,CARD_POOL.EVENT_CARD_POOL,CARD_POOL.EVENT_CARD_POOL,67,"[gold]불가침[/gold]을 1 얻습니다.
[gold]소멸[/gold].",Exhaust|Ethereal,EXHAUST,,A,0,2.91
CARD.APPARITION,영체화,False,A,ml-published,A,EXHAUST_TAG;ETHEREAL_SELF,소모,,"[gold]불가침[/gold]을 1 얻습니다.
[gold]소멸[/gold].",1,Skill,Ancient,CARD_POOL.EVENT_CARD_POOL,CARD_POOL.EVENT_CARD_POOL,64,"[gold]휘발성[/gold].
[gold]불가침[/gold]을 1 얻습니다.
[gold]소멸[/gold].",Ethereal|Exhaust,EXHAUST,,A,0,2.94
CARD.ARMAMENTS,전투장비+,True,B,ml-published,A,BLOCK;SCALING,방어,,,1,Skill,Common,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,68,"[gold]방어도[/gold]를 5 얻습니다.
[gold]손[/gold]에 있는 [green]모든 카드를[/green]
[gold]강화[/gold]합니다.",,BLOCK|SCALING,,B,-1,2.03
CARD.ARMAMENTS,전투장비,False,B,ml-published,A,BLOCK;SCALING,방어,,,1,Skill,Common,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,65,"[gold]방어도[/gold]를 5 얻습니다.
[gold]손[/gold]에 있는 [green]모든 카드를[/green]
[gold]강화[/gold]합니다.",,BLOCK|SCALING,,B,-1,2.03
CARD.ARSENAL,무기고+,True,C,ml-published,B,INNATE_SELF,,,,1,Power,Rare,CARD_POOL.REGENT_CARD_POOL,CARD_POOL.REGENT_CARD_POOL,58,"[gold]선천성[/gold].
카드를 생성할 때마다,
[gold]힘[/gold]을 1 얻습니다.",Innate,,,C,-1,1.12
CARD.ARSENAL,무기고,False,C,ml-published,B,,강화 가치,,"[gold]선천성[/gold].
카드를 생성할 때마다,
[gold]힘[/gold]을 1 얻습니다.",1,Power,Rare,CARD_POOL.REGENT_CARD_POOL,CARD_POOL.REGENT_CARD_POOL,55,"카드를 생성할 때마다,
[gold]힘[/gold]을 1 얻습니다.",,,,C,-1,1.11
CARD.ASHEN_STRIKE,잿빛 타격+,True,A,ml-published,S,EXHAUST_TAG;SCALING;EXHAUST_CONSUMER,소모,,,1,Attack,Uncommon,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,79,"피해를 6 줍니다.
[gold]소멸된 카드 더미[/gold]에 있는
카드 1장당 피해량이
4 증가합니다.",Strike,EXHAUST|SCALING,,A,-1,2.53
CARD.ASHEN_STRIKE,잿빛 타격,False,A,ml-published,S,EXHAUST_TAG;SCALING;EXHAUST_CONSUMER,소모,,"피해를 6 줍니다.
[gold]소멸된 카드 더미[/gold]에 있는
카드 1장당 피해량이
4 증가합니다.",1,Attack,Uncommon,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,76,"피해를 6 줍니다.
[gold]소멸된 카드 더미[/gold]에 있는
카드 1장당 피해량이
3 증가합니다.",Strike,EXHAUST|SCALING,,A,-1,2.46
CARD.ASSASSINATE,암살+,True,B,ml-published,A,EXHAUST_TAG;INNATE_SELF;DEBUFF;VULN,소모;취약,,,0,Attack,Rare,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,69,"[gold]선천성[/gold].
피해를 13 줍니다.
[gold]취약[/gold]을 2 부여합니다.
[gold]소멸[/gold].",Innate|Exhaust,EXHAUST,,B,-1,2.43
CARD.ASSASSINATE,암살,False,B,ml-published,A,EXHAUST_TAG;INNATE_SELF;DEBUFF;VULN,소모;취약,,"[gold]선천성[/gold].
피해를 13 줍니다.
[gold]취약[/gold]을 2 부여합니다.
[gold]소멸[/gold].",0,Attack,Rare,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,66,"[gold]선천성[/gold].
피해를 10 줍니다.
[gold]취약[/gold]을 1 부여합니다.
[gold]소멸[/gold].",Innate|Exhaust,EXHAUST,,B,-1,2.28
CARD.ASTRAL_PULSE,별의 파동+,True,A,ml-published,A,STAR_PRODUCER;AOE_OTHER;AOE_DAMAGE,광역,,,0,Attack,Common,CARD_POOL.REGENT_CARD_POOL,CARD_POOL.REGENT_CARD_POOL,70,"모든 적에게
피해를 18 줍니다.",,STAR|AOE,,A,0,2.71
CARD.ASTRAL_PULSE,별의 파동,False,A,ml-published,A,STAR_PRODUCER;AOE_OTHER;AOE_DAMAGE,광역,,"모든 적에게
피해를 18 줍니다.",0,Attack,Common,CARD_POOL.REGENT_CARD_POOL,CARD_POOL.REGENT_CARD_POOL,67,"모든 적에게
피해를 14 줍니다.",,STAR|AOE,,A,0,2.82
CARD.AUTOMATION,자동화+,True,A,ml-published,A,ENERGY;DRAW_ON_DRAW,에너지,,,0,Power,Uncommon,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,65,"카드를 10장 뽑을 때마다, [img]res://images/packed/sprite_fonts/colorless_energy_icon.png[/img]를 얻습니다.",,ENERGY,,A,0,2.86
CARD.AUTOMATION,자동화,False,A,ml-published,A,ENERGY;DRAW_ON_DRAW,에너지;강화 가치++,0,,1,Power,Uncommon,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,62,"카드를 10장 뽑을 때마다, [img]res://images/packed/sprite_fonts/colorless_energy_icon.png[/img]를 얻습니다.",,ENERGY,,A,0,2.85
CARD.BACKFLIP,공중제비+,True,S,ml-published,A,BLOCK;DRAW,드로우;방어,,,1,Skill,Common,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,62,"[gold]방어도[/gold]를 8 얻습니다.
카드를 2장 뽑습니다.",,BLOCK,,S,+1,3.41
CARD.BACKFLIP,공중제비,False,S,ml-published,B,BLOCK;DRAW,드로우;방어,,"[gold]방어도[/gold]를 8 얻습니다.
카드를 2장 뽑습니다.",1,Skill,Common,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,59,"[gold]방어도[/gold]를 5 얻습니다.
카드를 2장 뽑습니다.",,BLOCK,,S,+1,3.37
CARD.BACKSTAB,배신+,True,A,ml-published,A,EXHAUST_TAG;INNATE_SELF,소모,,,0,Attack,Uncommon,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,62,"[gold]선천성[/gold].
피해를 15 줍니다.
[gold]소멸[/gold].",Exhaust|Innate,EXHAUST,,A,0,2.87
CARD.BACKSTAB,배신,False,A,ml-published,B,EXHAUST_TAG;INNATE_SELF,소모,,"[gold]선천성[/gold].
피해를 15 줍니다.
[gold]소멸[/gold].",0,Attack,Uncommon,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,59,"[gold]선천성[/gold].
피해를 11 줍니다.
[gold]소멸[/gold].",Exhaust|Innate,EXHAUST,,A,0,2.80
CARD.BALL_LIGHTNING,번개 구체+,True,A,ml-published,A,ORB_PRODUCER,,,,1,Attack,Common,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,71,"피해를 10 줍니다.
[gold]전기[/gold]를 1번 [gold]영창[/gold]합니다.",,ORB,,A,0,2.89
CARD.BALL_LIGHTNING,번개 구체,False,A,ml-published,A,ORB_PRODUCER,,,"피해를 10 줍니다.
[gold]전기[/gold]를 1번 [gold]영창[/gold]합니다.",1,Attack,Common,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,68,"피해를 7 줍니다.
[gold]전기[/gold]를 1번 [gold]영창[/gold]합니다.",,ORB,,A,0,2.90
CARD.BANSHEES_CRY,밴시의 외침+,True,S,ml-published,S,ENERGY;AOE_OTHER;AOE_DAMAGE;VOLATILE_CONSUMER,광역,,,7,Attack,Rare,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,81,"모든 적에게
피해를 33 줍니다.
이번 전투 동안 사용한
[gold]휘발성[/gold] 카드 1장당
비용이 [img]res://images/packed/sprite_fonts/necrobinder_energy_icon.png[/img][img]res://images/packed/sprite_fonts/necrobinder_energy_icon.png[/img] 감소합니다.",,ENERGY|AOE,,S,0,3.70
CARD.BANSHEES_CRY,밴시의 외침,False,S,ml-published,S,ENERGY;AOE_OTHER;AOE_DAMAGE;VOLATILE_CONSUMER,광역,7,,9,Attack,Rare,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,78,"모든 적에게
피해를 33 줍니다.
이번 전투 동안 사용한
[gold]휘발성[/gold] 카드 1장당
비용이 [img]res://images/packed/sprite_fonts/necrobinder_energy_icon.png[/img][img]res://images/packed/sprite_fonts/necrobinder_energy_icon.png[/img] 감소합니다.",,ENERGY|AOE,,S,0,3.72
CARD.BARRAGE,일제 사격+,True,A,ml-published,A,ORB_PRODUCER;ORB_CONSUMER,,,,1,Attack,Common,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,71,"[gold]영창[/gold]된 구체 1개당
피해를 7 줍니다.",,ORB,,A,0,2.80
CARD.BARRAGE,일제 사격,False,A,ml-published,A,ORB_PRODUCER;ORB_CONSUMER,,,"[gold]영창[/gold]된 구체 1개당
피해를 7 줍니다.",1,Attack,Common,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,68,"[gold]영창[/gold]된 구체 1개당
피해를 5 줍니다.",,ORB,,A,0,2.71
CARD.BARRICADE,바리케이드+,True,D,ml-published,S,BLOCK,방어,,,2,Power,Rare,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,73,"내 턴 시작 시 [gold]방어도[/gold]가
사라지지 않습니다.",,BLOCK,,D,-4,0.60
CARD.BARRICADE,바리케이드,False,D,ml-published,A,BLOCK,방어;강화 가치,2,,3,Power,Rare,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,70,"내 턴 시작 시 [gold]방어도[/gold]가
사라지지 않습니다.",,BLOCK,,D,-4,0.56
CARD.BASH,강타+,True,C,ml-published,C,DEBUFF;VULN,취약,,,2,Attack,Basic,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,44,"피해를 10 줍니다.
[gold]취약[/gold]을 3 부여합니다.",,,,C,0,1.12
CARD.BASH,강타,False,C,ml-published,C,DEBUFF;VULN,취약,,"피해를 10 줍니다.
[gold]취약[/gold]을 3 부여합니다.",2,Attack,Basic,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,41,"피해를 8 줍니다.
[gold]취약[/gold]을 2 부여합니다.",,,,C,0,1.13
CARD.BATTLE_TRANCE,전투 최면+,True,S,ml-published,B,DRAW;DURATION,드로우,,,0,Skill,Uncommon,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,58,"카드를 4장 뽑습니다.
이번 턴 동안 더 이상
카드를 뽑을 수 없습니다.",,DRAW,,S,+2,3.83
CARD.BATTLE_TRANCE,전투 최면,False,S,ml-published,B,DRAW;DURATION,드로우,,"카드를 4장 뽑습니다.
이번 턴 동안 더 이상
카드를 뽑을 수 없습니다.",0,Skill,Uncommon,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,55,"카드를 3장 뽑습니다.
이번 턴 동안 더 이상
카드를 뽑을 수 없습니다.",,DRAW,,S,+2,3.82
CARD.BEACON_OF_HOPE,희망의 등불+,True,A,ml-published,A,BLOCK;INNATE_SELF;DURATION,방어,,,1,Power,Rare,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,69,"[gold]선천성[/gold].
내 턴 동안 [gold]방어도[/gold]를 얻을
때마다, 다른 플레이어가
그 절반만큼
[gold]방어도[/gold]를 얻습니다.",Innate,BLOCK,,A,0,2.93
CARD.BEACON_OF_HOPE,희망의 등불,False,A,ml-published,A,BLOCK;DURATION,방어;강화 가치,,"[gold]선천성[/gold].
내 턴 동안 [gold]방어도[/gold]를 얻을
때마다, 다른 플레이어가
그 절반만큼
[gold]방어도[/gold]를 얻습니다.",1,Power,Rare,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,66,"내 턴 동안 [gold]방어도[/gold]를 얻을
때마다, 다른 플레이어가
그 절반만큼
[gold]방어도[/gold]를 얻습니다.",,BLOCK,,A,0,2.84
CARD.BEAM_CELL,레이저 포인터+,True,A,ml-published,B,DEBUFF;VULN,취약,,,0,Attack,Common,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,53,"피해를 4 줍니다.
[gold]취약[/gold]을 2 부여합니다.",,,,A,+1,2.09
CARD.BEAM_CELL,레이저 포인터,False,A,ml-published,B,DEBUFF;VULN,취약,,"피해를 4 줍니다.
[gold]취약[/gold]을 2 부여합니다.",0,Attack,Common,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,50,"피해를 3 줍니다.
[gold]취약[/gold]을 1 부여합니다.",,,,A,+1,2.36
CARD.BEAT_DOWN,두들겨 패기+,True,D,ml-published,B,RANDOM,주의,,,3,Skill,Rare,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,57,"[gold]버린 카드 더미[/gold]에서
무작위 공격 카드를
4장 사용합니다.",,,,D,-2,0.15
CARD.BEAT_DOWN,두들겨 패기,False,D,ml-published,B,RANDOM,주의,,"[gold]버린 카드 더미[/gold]에서
무작위 공격 카드를
4장 사용합니다.",3,Skill,Rare,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,54,"[gold]버린 카드 더미[/gold]에서
무작위 공격 카드를
3장 사용합니다.",,,,D,-2,0.30
